"","SubjNum","Movie","Condition","Sec","dataset"
"170","e152014","2.4.1_C1_trim","coarse",223.726129999006,"second_dataset"
"171","e152014","2.4.1_C1_trim","coarse",333.278155339998,"second_dataset"
"172","e152014","2.4.1_C1_trim","coarse",358.758183083002,"second_dataset"
"173","e152014","2.4.1_C1_trim","coarse",401.510170602007,"second_dataset"
"174","e152014","2.4.1_C1_trim","coarse",531.910180431994,"second_dataset"
"175","e152014","2.4.1_C1_trim","coarse",579.854192883999,"second_dataset"
"176","e152014","2.4.1_C1_trim","coarse",627.862195759997,"second_dataset"
"177","e152016","1.2.3_C1_trim","coarse",130.083811420001,"second_dataset"
"178","e152016","1.2.3_C1_trim","coarse",157.987843579998,"second_dataset"
"179","e152016","1.2.3_C1_trim","coarse",269.219863899001,"second_dataset"
"180","e152016","1.2.3_C1_trim","coarse",434.483860786,"second_dataset"
"181","e152016","1.2.3_C1_trim","coarse",507.435881754005,"second_dataset"
"182","e152016","1.2.3_C1_trim","coarse",578.195875681005,"second_dataset"
"183","e152016","6.3.9_C1_trim","coarse",280.657851084005,"second_dataset"
"184","e152016","3.1.3_C1_trim","coarse",170.597642043002,"second_dataset"
"185","e152016","3.1.3_C1_trim","coarse",522.141674033999,"second_dataset"
"186","e152016","2.4.1_C1_trim","coarse",79.5029639109998,"second_dataset"
"187","e152016","2.4.1_C1_trim","coarse",395.614991261005,"second_dataset"
"188","e152017","1.2.3_C1_trim","coarse",5.66111004400591,"second_dataset"
"189","e152017","1.2.3_C1_trim","coarse",57.237098017009,"second_dataset"
"190","e152017","1.2.3_C1_trim","coarse",80.1331102639961,"second_dataset"
"191","e152017","1.2.3_C1_trim","coarse",154.901118556008,"second_dataset"
"192","e152017","1.2.3_C1_trim","coarse",579.941173211002,"second_dataset"
"193","e152017","1.2.3_C1_trim","coarse",585.085166363002,"second_dataset"
"194","e152017","6.3.9_C1_trim","coarse",9.4170115809975,"second_dataset"
"195","e152017","6.3.9_C1_trim","coarse",302.705050238001,"second_dataset"
"196","e152017","6.3.9_C1_trim","coarse",526.273075667996,"second_dataset"
"197","e152017","6.3.9_C1_trim","coarse",673.081116645,"second_dataset"
"198","e152017","6.3.9_C1_trim","coarse",674.553098902004,"second_dataset"
"199","e152017","3.1.3_C1_trim","coarse",4.78350253700046,"second_dataset"
"200","e152017","3.1.3_C1_trim","coarse",21.1995102799992,"second_dataset"
"201","e152017","3.1.3_C1_trim","coarse",583.831577777004,"second_dataset"
"202","e152017","3.1.3_C1_trim","coarse",584.975603935003,"second_dataset"
"203","e152017","2.4.1_C1_trim","coarse",6.32474516899674,"second_dataset"
"204","e152017","2.4.1_C1_trim","coarse",316.284731774998,"second_dataset"
"205","e152017","2.4.1_C1_trim","coarse",401.540741799996,"second_dataset"
"206","e152017","2.4.1_C1_trim","coarse",628.572797439003,"second_dataset"
"207","e152017","2.4.1_C1_trim","coarse",642.500781875002,"second_dataset"
"208","e152018","1.2.3_C1_trim","coarse",82.1249373429891,"second_dataset"
"209","e152018","1.2.3_C1_trim","coarse",153.140921503989,"second_dataset"
"210","e152018","1.2.3_C1_trim","coarse",275.220958573991,"second_dataset"
"211","e152018","1.2.3_C1_trim","coarse",341.140939153003,"second_dataset"
"212","e152018","1.2.3_C1_trim","coarse",460.108954317999,"second_dataset"
"213","e152018","1.2.3_C1_trim","coarse",577.572976205993,"second_dataset"
"214","e152018","6.3.9_C1_trim","coarse",283.045712638996,"second_dataset"
"215","e152018","6.3.9_C1_trim","coarse",438.309714746007,"second_dataset"
"216","e152018","6.3.9_C1_trim","coarse",531.373728702005,"second_dataset"
"217","e152018","6.3.9_C1_trim","coarse",672.429762954998,"second_dataset"
"218","e152018","3.1.3_C1_trim","coarse",77.3062082160031,"second_dataset"
"219","e152018","3.1.3_C1_trim","coarse",335.530268845003,"second_dataset"
"220","e152018","3.1.3_C1_trim","coarse",471.866262087002,"second_dataset"
"221","e152018","3.1.3_C1_trim","coarse",574.778259023005,"second_dataset"
"222","e152018","2.4.1_C1_trim","coarse",212.806511763003,"second_dataset"
"223","e152018","2.4.1_C1_trim","coarse",405.110544444004,"second_dataset"
"224","e152018","2.4.1_C1_trim","coarse",533.622580231997,"second_dataset"
"225","e152021","1.2.3_C1_trim","coarse",161.867081183998,"second_dataset"
"226","e152021","1.2.3_C1_trim","coarse",531.747113284997,"second_dataset"
"227","e152021","6.3.9_C1_trim","coarse",280.269580250999,"second_dataset"
"228","e152021","6.3.9_C1_trim","coarse",328.237558743,"second_dataset"
"229","e152021","6.3.9_C1_trim","coarse",538.877603162,"second_dataset"
"230","e152021","6.3.9_C1_trim","coarse",657.869598054996,"second_dataset"
"231","e152021","6.3.9_C1_trim","coarse",668.485619471001,"second_dataset"
"232","e152021","3.1.3_C1_trim","coarse",249.487248726,"second_dataset"
"233","e152021","3.1.3_C1_trim","coarse",441.711300597999,"second_dataset"
"234","e152021","2.4.1_C1_trim","coarse",253.442984773996,"second_dataset"
"235","e152021","2.4.1_C1_trim","coarse",596.531038648995,"second_dataset"
"236","e152022","1.2.3_C1_trim","coarse",83.5359436510043,"second_dataset"
"237","e152022","1.2.3_C1_trim","coarse",152.367960618009,"second_dataset"
"238","e152022","1.2.3_C1_trim","coarse",582.224008694,"second_dataset"
"239","e152022","6.3.9_C1_trim","coarse",13.5469337159884,"second_dataset"
"240","e152022","6.3.9_C1_trim","coarse",282.498977354,"second_dataset"
"241","e152022","6.3.9_C1_trim","coarse",528.803018370993,"second_dataset"
"242","e152022","6.3.9_C1_trim","coarse",672.723020405989,"second_dataset"
"243","e152022","3.1.3_C1_trim","coarse",580.165733818008,"second_dataset"
"244","e152022","2.4.1_C1_trim","coarse",6.68323941499693,"second_dataset"
"245","e152022","2.4.1_C1_trim","coarse",637.627312911995,"second_dataset"
"246","e152023","1.2.3_C1_trim","coarse",81.5935841879982,"second_dataset"
"247","e152023","1.2.3_C1_trim","coarse",152.529469738991,"second_dataset"
"248","e152023","1.2.3_C1_trim","coarse",580.705508051004,"second_dataset"
"249","e152023","6.3.9_C1_trim","coarse",281.422009923001,"second_dataset"
"250","e152023","6.3.9_C1_trim","coarse",304.573989211,"second_dataset"
"251","e152023","6.3.9_C1_trim","coarse",526.702005461004,"second_dataset"
"252","e152023","6.3.9_C1_trim","coarse",671.510073816011,"second_dataset"
"253","e152023","3.1.3_C1_trim","coarse",21.3980034260021,"second_dataset"
"254","e152023","3.1.3_C1_trim","coarse",415.254045825,"second_dataset"
"255","e152023","3.1.3_C1_trim","coarse",463.694066969998,"second_dataset"
"256","e152023","3.1.3_C1_trim","coarse",571.582070350996,"second_dataset"
"257","e152023","2.4.1_C1_trim","coarse",10.3023705599917,"second_dataset"
"258","e152023","2.4.1_C1_trim","coarse",223.854402279991,"second_dataset"
"259","e152023","2.4.1_C1_trim","coarse",334.014429963994,"second_dataset"
"260","e152023","2.4.1_C1_trim","coarse",360.142424594989,"second_dataset"
"261","e152023","2.4.1_C1_trim","coarse",635.342490993993,"second_dataset"
"262","e152023","2.4.1_C1_trim","coarse",641.406490633992,"second_dataset"
"263","e152024","1.2.3_C1_trim","coarse",81.4929881429998,"second_dataset"
"264","e152024","1.2.3_C1_trim","coarse",152.284968679,"second_dataset"
"265","e152024","1.2.3_C1_trim","coarse",285.02901208699,"second_dataset"
"266","e152024","1.2.3_C1_trim","coarse",341.396997531992,"second_dataset"
"267","e152024","1.2.3_C1_trim","coarse",440.765005954003,"second_dataset"
"268","e152024","1.2.3_C1_trim","coarse",578.741050505996,"second_dataset"
"269","e152024","6.3.9_C1_trim","coarse",280.808340495001,"second_dataset"
"270","e152024","6.3.9_C1_trim","coarse",437.256338965002,"second_dataset"
"271","e152024","6.3.9_C1_trim","coarse",525.200362452,"second_dataset"
"272","e152024","6.3.9_C1_trim","coarse",676.736414767991,"second_dataset"
"273","e152024","3.1.3_C1_trim","coarse",69.666715512998,"second_dataset"
"274","e152024","3.1.3_C1_trim","coarse",170.626699115004,"second_dataset"
"275","e152024","3.1.3_C1_trim","coarse",412.266750235998,"second_dataset"
"276","e152024","3.1.3_C1_trim","coarse",463.482727701994,"second_dataset"
"277","e152024","3.1.3_C1_trim","coarse",571.018997399995,"second_dataset"
"278","e152024","2.4.1_C1_trim","coarse",217.409984769998,"second_dataset"
"279","e152024","2.4.1_C1_trim","coarse",359.818005740002,"second_dataset"
"280","e152024","2.4.1_C1_trim","coarse",399.082011166,"second_dataset"
"281","e152024","2.4.1_C1_trim","coarse",591.194026040001,"second_dataset"
"282","e152024","2.4.1_C1_trim","coarse",631.458042707993,"second_dataset"
"283","e152025","1.2.3_C1_trim","coarse",80.670047327003,"second_dataset"
"284","e152025","1.2.3_C1_trim","coarse",152.69400819001,"second_dataset"
"285","e152025","1.2.3_C1_trim","coarse",275.438045235001,"second_dataset"
"286","e152025","1.2.3_C1_trim","coarse",440.61405566,"second_dataset"
"287","e152025","1.2.3_C1_trim","coarse",579.822088382993,"second_dataset"
"288","e152025","6.3.9_C1_trim","coarse",274.499741720996,"second_dataset"
"289","e152025","6.3.9_C1_trim","coarse",303.419704703003,"second_dataset"
"290","e152025","6.3.9_C1_trim","coarse",437.059739371005,"second_dataset"
"291","e152025","6.3.9_C1_trim","coarse",526.123733244982,"second_dataset"
"292","e152025","6.3.9_C1_trim","coarse",668.867795280996,"second_dataset"
"293","e152025","3.1.3_C1_trim","coarse",20.6655774230021,"second_dataset"
"294","e152025","3.1.3_C1_trim","coarse",393.065619234025,"second_dataset"
"295","e152025","3.1.3_C1_trim","coarse",573.257639396004,"second_dataset"
"296","e152025","3.1.3_C1_trim","coarse",584.457638072025,"second_dataset"
"297","e152025","2.4.1_C1_trim","coarse",223.518719399988,"second_dataset"
"298","e152025","2.4.1_C1_trim","coarse",333.790740911994,"second_dataset"
"299","e152025","2.4.1_C1_trim","coarse",399.470736188989,"second_dataset"
"300","e152025","2.4.1_C1_trim","coarse",635.046743890998,"second_dataset"
"301","e152025","2.4.1_C1_trim","coarse",642.558764613001,"second_dataset"
"302","e152026","1.2.3_C1_trim","coarse",4.15087775800021,"second_dataset"
"303","e152026","1.2.3_C1_trim","coarse",91.614857337001,"second_dataset"
"304","e152026","1.2.3_C1_trim","coarse",153.454876290001,"second_dataset"
"305","e152026","1.2.3_C1_trim","coarse",270.790886494,"second_dataset"
"306","e152026","1.2.3_C1_trim","coarse",352.926909933001,"second_dataset"
"307","e152026","1.2.3_C1_trim","coarse",457.078926763001,"second_dataset"
"308","e152026","1.2.3_C1_trim","coarse",582.230949889001,"second_dataset"
"309","e152026","6.3.9_C1_trim","coarse",15.0951642580003,"second_dataset"
"310","e152026","6.3.9_C1_trim","coarse",286.415208528,"second_dataset"
"311","e152026","6.3.9_C1_trim","coarse",325.935214078001,"second_dataset"
"312","e152026","6.3.9_C1_trim","coarse",438.391222714001,"second_dataset"
"313","e152026","6.3.9_C1_trim","coarse",523.567236765,"second_dataset"
"314","e152026","6.3.9_C1_trim","coarse",574.335256965001,"second_dataset"
"315","e152026","6.3.9_C1_trim","coarse",673.023250299,"second_dataset"
"316","e152026","6.3.9_C1_trim","coarse",677.727265021,"second_dataset"
"317","e152026","3.1.3_C1_trim","coarse",20.5413768149992,"second_dataset"
"318","e152026","3.1.3_C1_trim","coarse",172.477389599,"second_dataset"
"319","e152026","3.1.3_C1_trim","coarse",337.781396758999,"second_dataset"
"320","e152026","3.1.3_C1_trim","coarse",567.645418426,"second_dataset"
"321","e152026","2.4.1_C1_trim","coarse",14.3721212290002,"second_dataset"
"322","e152026","2.4.1_C1_trim","coarse",193.940120498,"second_dataset"
"323","e152026","2.4.1_C1_trim","coarse",224.636161999,"second_dataset"
"324","e152026","2.4.1_C1_trim","coarse",315.956140409,"second_dataset"
"325","e152026","2.4.1_C1_trim","coarse",357.372162915,"second_dataset"
"326","e152026","2.4.1_C1_trim","coarse",533.612165219,"second_dataset"
"327","e152026","2.4.1_C1_trim","coarse",577.532204169,"second_dataset"
"328","e152028","1.2.3_C1_trim","coarse",82.397367007,"second_dataset"
"329","e152028","1.2.3_C1_trim","coarse",154.57340819,"second_dataset"
"330","e152028","1.2.3_C1_trim","coarse",270.189403906001,"second_dataset"
"331","e152028","1.2.3_C1_trim","coarse",341.653379418,"second_dataset"
"332","e152028","1.2.3_C1_trim","coarse",445.189417881001,"second_dataset"
"333","e152028","6.3.9_C1_trim","coarse",283.104543072,"second_dataset"
"334","e152028","6.3.9_C1_trim","coarse",324.792525584,"second_dataset"
"335","e152028","6.3.9_C1_trim","coarse",418.800542386,"second_dataset"
"336","e152028","6.3.9_C1_trim","coarse",543.928582015,"second_dataset"
"337","e152028","3.1.3_C1_trim","coarse",21.9359606859998,"second_dataset"
"338","e152028","3.1.3_C1_trim","coarse",170.33597885,"second_dataset"
"339","e152028","3.1.3_C1_trim","coarse",254.167977098,"second_dataset"
"340","e152028","3.1.3_C1_trim","coarse",343.047973037,"second_dataset"
"341","e152028","3.1.3_C1_trim","coarse",460.511984411,"second_dataset"
"342","e152028","2.4.1_C1_trim","coarse",197.849710416001,"second_dataset"
"343","e152028","2.4.1_C1_trim","coarse",283.169743265,"second_dataset"
"344","e152028","2.4.1_C1_trim","coarse",361.257731577,"second_dataset"
"345","e152028","2.4.1_C1_trim","coarse",405.169799204,"second_dataset"
"346","e152028","2.4.1_C1_trim","coarse",581.121773555,"second_dataset"
"347","e152030","1.2.3_C1_trim","coarse",82.330100617,"second_dataset"
"348","e152030","1.2.3_C1_trim","coarse",233.170157828,"second_dataset"
"349","e152030","1.2.3_C1_trim","coarse",276.826156571,"second_dataset"
"350","e152030","1.2.3_C1_trim","coarse",355.146130945,"second_dataset"
"351","e152030","1.2.3_C1_trim","coarse",445.514154994,"second_dataset"
"352","e152030","1.2.3_C1_trim","coarse",447.202179527,"second_dataset"
"353","e152030","6.3.9_C1_trim","coarse",13.386015864,"second_dataset"
"354","e152030","6.3.9_C1_trim","coarse",275.570063907,"second_dataset"
"355","e152030","6.3.9_C1_trim","coarse",313.290080158,"second_dataset"
"356","e152030","6.3.9_C1_trim","coarse",419.250065799,"second_dataset"
"357","e152030","6.3.9_C1_trim","coarse",451.658072951,"second_dataset"
"358","e152030","6.3.9_C1_trim","coarse",543.178099404,"second_dataset"
"359","e152030","6.3.9_C1_trim","coarse",543.706069739,"second_dataset"
"360","e152030","6.3.9_C1_trim","coarse",619.722110105,"second_dataset"
"361","e152030","3.1.3_C1_trim","coarse",36.9324981109999,"second_dataset"
"362","e152030","3.1.3_C1_trim","coarse",69.6284816910002,"second_dataset"
"363","e152030","3.1.3_C1_trim","coarse",98.6685052950002,"second_dataset"
"364","e152030","3.1.3_C1_trim","coarse",167.252505282,"second_dataset"
"365","e152030","3.1.3_C1_trim","coarse",177.180489916,"second_dataset"
"366","e152030","3.1.3_C1_trim","coarse",332.18851477,"second_dataset"
"367","e152030","3.1.3_C1_trim","coarse",433.316544951,"second_dataset"
