frame,gridx,gridy,hand_value
210,2,2,3.1930851047507335e-09
210,2,3,0.00017762493153439216
210,2,4,0.00185750301352484
210,2,5,4.564698609846476e-05
210,2,6,7.628533360683822e-11
210,3,1,8.425422624587056e-15
210,3,2,9.968410516273457e-08
210,3,3,0.006238675468186956
210,3,4,0.13945914548092095
210,3,5,0.023079357203778576
210,3,6,1.454679759504417e-06
210,4,1,2.5750374644800675e-17
210,4,2,5.890342990386027e-10
210,4,3,0.0004973899007815744
210,4,4,0.08191306826748716
210,4,5,0.0228472955289144
210,4,6,1.5493195190203736e-06
210,5,1,1.0787813293164068e-22
210,5,2,1.656715167403647e-14
210,5,3,3.2418781420480164e-09
210,5,4,5.660690074412929e-07
210,5,5,1.5951712383151632e-07
210,5,6,1.0956258926309604e-11
210,6,1,7.992550896082291e-19
210,6,2,1.2566238240858858e-10
210,6,3,9.987674670079042e-07
210,6,4,3.1014961406325906e-05
210,6,5,7.303651956550483e-05
210,6,6,7.577206318878611e-06
210,7,1,2.0069746383894831e-19
210,7,2,3.4438483152743646e-11
210,7,3,5.434155192574977e-07
210,7,4,0.00031679003932854477
210,7,5,0.04089789759558427
210,7,6,0.011683728377317014
210,8,1,3.874918591473605e-26
210,8,2,1.3451777849045321e-17
210,8,3,7.790856851659588e-11
210,8,4,0.00035647567419968613
210,8,5,0.06212404754760977
210,8,6,0.01743537443881873
270,1,1,2.8849783758452585e-24
270,1,2,1.3720933010485242e-17
270,1,3,6.351527839717771e-13
270,1,4,6.26868497795028e-12
270,1,5,1.4071250660191067e-13
270,1,6,1.8181829810218373e-19
270,2,1,4.991216058248183e-16
270,2,2,3.4861268476607515e-09
270,2,3,0.0001803761173907212
270,2,4,0.001888219430822533
270,2,5,4.649423934241257e-05
270,2,6,7.771524467793991e-11
270,3,1,1.0831201058126177e-14
270,3,2,1.068678415774529e-07
270,3,3,0.0063452159545901035
270,3,4,0.13940991759353738
270,3,5,0.022755218094928198
270,3,6,1.4321704912906757e-06
270,4,1,3.1178507872776103e-17
270,4,2,6.137231232810297e-10
270,4,3,0.000489660567917067
270,4,4,0.08050761736210653
270,4,5,0.022468460180850663
270,4,6,1.5255652084878237e-06
270,5,1,1.4831041100132865e-22
